MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=control_change channel=0 control=7 value=124 time=0 actual_time=0
type=note_on channel=0 note=59 velocity=80 time=7800 actual_time=7800
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=7896
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=7920
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=8016
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=8040
type=note_on channel=0 note=59 velocity=0 time=48 actual_time=8088
type=note_on channel=0 note=62 velocity=80 time=12 actual_time=8100
type=note_on channel=0 note=62 velocity=0 time=144 actual_time=8244
type=note_on channel=0 note=59 velocity=80 time=36 actual_time=8280
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=8376
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=8400
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=8496
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=8520
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=8568
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=8580
type=note_on channel=0 note=57 velocity=0 time=156 actual_time=8736
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=8760
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=8856
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=8880
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=8976
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=9000
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=9096
type=note_on channel=0 note=57 velocity=80 time=24 actual_time=9120
type=note_on channel=0 note=57 velocity=0 time=48 actual_time=9168
type=note_on channel=0 note=57 velocity=80 time=12 actual_time=9180
type=note_on channel=0 note=57 velocity=0 time=96 actual_time=9276
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=9300
type=note_on channel=0 note=59 velocity=0 time=192 actual_time=9492
type=note_on channel=0 note=59 velocity=80 time=228 actual_time=9720
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=9816
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=9840
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=9936
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=9960
